Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	-9.722379E-2	-3.658044E+0
9/18/2019  16:29:09.	-9.545225E-2	-3.604736E+0
9/18/2019  16:29:09.	-9.706274E-2	-3.560930E+0
9/18/2019  16:29:09.	-9.529120E-2	-3.517446E+0
9/18/2019  16:29:09.	-9.432490E-2	-3.474928E+0
9/18/2019  16:29:09.	-9.529120E-2	-3.422748E+0
9/18/2019  16:29:09.	-9.319756E-2	-3.377975E+0
9/18/2019  16:29:09.	-9.609645E-2	-3.327083E+0
9/18/2019  16:29:09.	-9.094286E-2	-3.276191E+0
9/18/2019  16:29:09.	-9.480805E-2	-3.224815E+0
9/18/2019  16:29:09.	-9.368071E-2	-3.184231E+0
9/18/2019  16:29:09.	-9.094286E-2	-3.133499E+0
9/18/2019  16:29:09.	-8.981552E-2	-3.080836E+0
9/18/2019  16:29:09.	-9.062077E-2	-3.023018E+0
9/18/2019  16:29:09.	-8.482299E-2	-2.968905E+0
9/18/2019  16:29:09.	-8.836607E-2	-2.914309E+0
9/18/2019  16:29:09.	-8.192410E-2	-2.864705E+0
9/18/2019  16:29:09.	-8.401774E-2	-2.814135E+0
9/18/2019  16:29:09.	-8.031360E-2	-2.756479E+0
9/18/2019  16:29:09.	-8.063570E-2	-2.699306E+0
9/18/2019  16:29:09.	-7.677051E-2	-2.641650E+0
9/18/2019  16:29:09.	-7.564317E-2	-2.584638E+0
9/18/2019  16:29:09.	-7.532107E-2	-2.528109E+0
9/18/2019  16:29:09.	-7.242218E-2	-2.469648E+0
9/18/2019  16:29:09.	-7.210008E-2	-2.411348E+0
9/18/2019  16:29:09.	-6.887909E-2	-2.348377E+0
9/18/2019  16:29:09.	-6.726860E-2	-2.292170E+0
9/18/2019  16:29:09.	-6.485286E-2	-2.228072E+0
9/18/2019  16:29:09.	-6.098767E-2	-2.172671E+0
9/18/2019  16:29:09.	-6.211502E-2	-2.110184E+0
9/18/2019  16:29:09.	-6.211502E-2	-2.046891E+0
9/18/2019  16:29:09.	-5.583409E-2	-1.983759E+0
9/18/2019  16:29:09.	-5.792773E-2	-1.921111E+0
9/18/2019  16:29:09.	-5.518989E-2	-1.861200E+0
9/18/2019  16:29:09.	-5.406254E-2	-1.797263E+0
9/18/2019  16:29:09.	-5.406254E-2	-1.735581E+0
9/18/2019  16:29:09.	-5.277415E-2	-1.674382E+0
9/18/2019  16:29:09.	-5.196890E-2	-1.606419E+0
9/18/2019  16:29:09.	-5.035841E-2	-1.546026E+0
9/18/2019  16:29:09.	-4.633217E-2	-1.476130E+0
9/18/2019  16:29:09.	-4.633217E-2	-1.409133E+0
9/18/2019  16:29:09.	-4.504378E-2	-1.350028E+0
9/18/2019  16:29:09.	-4.053439E-2	-1.283675E+0
9/18/2019  16:29:09.	-4.021229E-2	-1.216357E+0
9/18/2019  16:29:09.	-3.763550E-2	-1.150165E+0
9/18/2019  16:29:09.	-3.425346E-2	-1.078337E+0
9/18/2019  16:29:09.	-3.441451E-2	-1.019071E+0
9/18/2019  16:29:09.	-3.232087E-2	-9.472429E-1
9/18/2019  16:29:09.	-3.183772E-2	-8.825010E-1
9/18/2019  16:29:09.	-2.845568E-2	-8.113171E-1
9/18/2019  16:29:09.	-2.748939E-2	-7.478636E-1
9/18/2019  16:29:09.	-3.022723E-2	-6.787733E-1
9/18/2019  16:29:09.	-2.587889E-2	-6.146756E-1
9/18/2019  16:29:09.	-2.813359E-2	-5.428476E-1
9/18/2019  16:29:09.	-2.459050E-2	-4.739184E-1
9/18/2019  16:29:09.	-2.233581E-2	-4.049893E-1
9/18/2019  16:29:09.	-2.217476E-2	-3.365432E-1
9/18/2019  16:29:09.	-2.217476E-2	-2.695467E-1
9/18/2019  16:29:09.	-1.653803E-2	-2.012617E-1
9/18/2019  16:29:09.	-1.235074E-2	-1.286284E-1
9/18/2019  16:29:09.	-1.218969E-2	-6.195397E-2
9/18/2019  16:29:09.	-6.714011E-3	2.626856E-3
9/18/2019  16:29:09.	-8.163456E-3	7.670960E-2
9/18/2019  16:29:09.	-8.646604E-3	1.477324E-1
9/18/2019  16:29:09.	-7.841357E-3	2.107027E-1
9/18/2019  16:29:09.	-8.485555E-3	2.823698E-1
9/18/2019  16:29:09.	-6.714011E-3	3.519431E-1
9/18/2019  16:29:09.	-6.069813E-3	4.157187E-1
9/18/2019  16:29:09.	-2.043577E-3	4.848090E-1
9/18/2019  16:29:09.	-4.137220E-3	5.571202E-1
9/18/2019  16:29:09.	-1.560429E-3	6.199295E-1
9/18/2019  16:29:09.	2.626856E-3	6.875704E-1
9/18/2019  16:29:09.	-1.122340E-2	7.587543E-1
9/18/2019  16:29:09.	3.593153E-3	8.241404E-1
9/18/2019  16:29:09.	4.237351E-3	8.912981E-1
9/18/2019  16:29:09.	6.330994E-3	9.600663E-1
9/18/2019  16:29:09.	9.551982E-3	1.024647E+0
9/18/2019  16:29:09.	1.245087E-2	1.095026E+0
9/18/2019  16:29:09.	1.164563E-2	1.158158E+0
9/18/2019  16:29:09.	1.067933E-2	1.227248E+0
9/18/2019  16:29:09.	1.196772E-2	1.295211E+0
9/18/2019  16:29:09.	1.293402E-2	1.358181E+0
9/18/2019  16:29:09.	1.502766E-2	1.422601E+0
9/18/2019  16:29:09.	1.438347E-2	1.486538E+0
9/18/2019  16:29:09.	1.840970E-2	1.552247E+0
9/18/2019  16:29:09.	1.985915E-2	1.615217E+0
